id,url,name,artist,album,explicit,popularity,duration_ms,key,mode,time_signature,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo
6obC8cyRIh0FJlKrWUvt5r,https://open.spotify.com/track/6obC8cyRIh0FJlKrWUvt5r,On The One Hand,Horrorshow,King Amongst Many,False,20,311739,2,1,4,0.686,0.732,0.28,0.232,7.66e-06,0.183,0.374,89.996
6pDQo6KpCDE5w1fQ8g0PPd,https://open.spotify.com/track/6pDQo6KpCDE5w1fQ8g0PPd,Nice Guys Finish Last,Horrorshow,King Amongst Many,True,30,205939,7,1,4,0.706,0.738,0.43,0.502,0,0.0452,0.74,92.997
4ouLzgVE7AjxJxIBijuqFV,https://open.spotify.com/track/4ouLzgVE7AjxJxIBijuqFV,For The Life Of Me,Horrorshow,Bardo State,False,32,252069,4,0,4,0.706,0.645,0.188,0.0716,0,0.0625,0.539,149.975
0oCm7r3LpMmnVxbAiegJcE,https://open.spotify.com/track/0oCm7r3LpMmnVxbAiegJcE,How We Get Down,Horrorshow,Bardo State,True,31,238124,9,1,4,0.738,0.646,0.173,0.0636,0,0.341,0.317,115.054
1XjPhu1a4itNJFHAEpYyI4,https://open.spotify.com/track/1XjPhu1a4itNJFHAEpYyI4,Cherry Blossom,Horrorshow,Bardo State,False,45,274005,1,0,4,0.81,0.583,0.245,0.23,0,0.667,0.557,120.08
7zlRXldGkO4p6u9Wjxaa4H,https://open.spotify.com/track/7zlRXldGkO4p6u9Wjxaa4H,Buzzin',Shwayze,Shwayze,True,1,212280,2,1,4,0.85,0.58,0.0563,0.0171,1.41e-06,0.072,0.321,93.018
0TVwMTKyuSp41ytctKTA3T,https://open.spotify.com/track/0TVwMTKyuSp41ytctKTA3T,Feel the Way I Do,The Jungle Giants,Quiet Ferocity,False,60,205146,11,0,4,0.803,0.636,0.0322,0.0231,0.00505,0.0791,0.817,122.966
0ZciUwSSqAqYzWBPUBK9Su,https://open.spotify.com/track/0ZciUwSSqAqYzWBPUBK9Su,One Chance To Dance,Naughty Boy,One Chance To Dance,False,14,204480,2,1,4,0.603,0.783,0.031,0.107,0,0.0886,0.332,103.974
6EYrKGmr5DS7hLMrbO0vNE,https://open.spotify.com/track/6EYrKGmr5DS7hLMrbO0vNE,Astray,Horrorshow,Bardo State,True,43,247450,10,0,4,0.624,0.653,0.151,0.0652,0,0.086,0.429,133.993
4EGPOnc8vDKCH0NnZ9dpR7,https://open.spotify.com/track/4EGPOnc8vDKCH0NnZ9dpR7,Let Go,Billiards,Walk Around the World,False,14,208426,7,0,4,0.616,0.64,0.0282,0.0355,0,0.338,0.368,113.101
6WXFVBiQCftOIPYcYXNsrM,https://open.spotify.com/track/6WXFVBiQCftOIPYcYXNsrM,Irish Coffee,Billiards,Walk Around the World,False,18,200240,8,1,4,0.549,0.427,0.0311,0.413,1.25e-06,0.114,0.329,96.103
