url,name,artist,explicit,popularity,duration_ms,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo
https://open.spotify.com/track/4cZGdje7UXxBsJViy2Cs8Z,Coração selvagem,Belchior,False,47,284040,0.331,0.668,0.0656,0.0108,3.13e-06,0.177,0.478,93.357
https://open.spotify.com/track/1UsAjRCSavihMYsspqJz4e,Sujeito De Sorte,Belchior,False,56,196560,0.455,0.407,0.0988,0.291,0.000235,0.067,0.442,167.385
https://open.spotify.com/track/661Ns9G25zHdih4qVshBO7,Anunciação,Alceu Valença,False,64,288160,0.539,0.745,0.0279,0.451,0.000239,0.103,0.78,99.923
https://open.spotify.com/track/7CdDIvw3jvjNaIs5m3mM4A,La Belle De Jour,Alceu Valença,False,61,268760,0.644,0.404,0.0348,0.159,0.000291,0.167,0.689,105.061
https://open.spotify.com/track/1b95iTuFa05xohamPS1qzK,Lua e Flor,Oswaldo Montenegro,False,49,292026,0.238,0.317,0.0311,0.671,0.00979,0.913,0.162,70.641
https://open.spotify.com/track/7azaUeZjFTpxUbpTFsZPX4,A lista,Oswaldo Montenegro,False,51,179266,0.463,0.5,0.0665,0.558,0,0.982,0.331,89.87
https://open.spotify.com/track/6pCKtQVceXMMDFAXOM0f5r,Bandolins,Oswaldo Montenegro,False,42,258973,0.503,0.412,0.0526,0.719,0,0.0949,0.482,106.215
https://open.spotify.com/track/41raJNApCvmvEMIHTPLMXu,Milla - Versão Estúdio,Netinho,False,40,301413,0.449,0.817,0.0663,0.148,0,0.211,0.485,144.247
https://open.spotify.com/track/4XlaqUspMU73ZWXLG8Zlwc,Simples Desejo,Luciana Mello,False,49,283133,0.635,0.594,0.0382,0.334,0.000901,0.366,0.392,82.013
https://open.spotify.com/track/2zkvq99AeX8CwdpoShW0O3,Desacostumei de Carinho - Ao Vivo,Alcione,False,28,204461,0.682,0.493,0.0349,0.727,0.000147,0.752,0.3,98.002
https://open.spotify.com/track/0PgsB53yhlKs8D19LgYU4i,Se...,Djavan,False,67,291533,0.575,0.392,0.035,0.609,7.45e-05,0.0624,0.498,179.789
https://open.spotify.com/track/3iof6EclqePezHDibBiykI,Oceano,Djavan,False,59,296106,0.665,0.479,0.0247,0.551,0.000548,0.286,0.154,92.864
https://open.spotify.com/track/34dfSRZXC8qvYm3Uo6mqqK,Dia Branco,Geraldo Azevedo,False,47,128906,0.43,0.213,0.0289,0.93,3.37e-06,0.109,0.12,72.333
https://open.spotify.com/track/5uTL4NNdF9v04raxadx1Zy,Why? (The King of Love Is Dead) - Live,Nina Simone,False,15,347760,0.476,0.125,0.0467,0.902,0,0.934,0.284,88.199
https://open.spotify.com/track/0TOQzBpLfNCteJ4y0H84w7,Ain't No Sunshine,Al Jarreau,False,39,120960,0.449,0.508,0.0849,0.131,1.5e-05,0.15,0.477,74.662
https://open.spotify.com/track/6CcJMwBtXByIz4zQLzFkKc,i love you,Billie Eilish,False,84,291796,0.421,0.131,0.0382,0.952,0.00453,0.109,0.12,137.446
